Date,Forecasted_Sales
31-Jan-19,"387,644.00"
28-Feb-19,"484,816.00"
31-Mar-19,"462,726.00"
30-Apr-19,"469,261.00"
31-May-19,"488,951.00"
30-Jun-19,"458,933.00"
31-Jul-19,"737,798.00"
31-Aug-19,"722,178.00"
30-Sep-19,"867,199.00"
31-Oct-19,"1,070,928.00"
30-Nov-19,"1,080,517.00"
31-Dec-19,"1,388,412.00"
31-Jan-20,"493,301.00"
29-Feb-20,"558,390.00"
31-Mar-20,"542,718.00"
30-Apr-20,"564,947.00"
31-May-20,"647,869.00"
30-Jun-20,"607,774.00"
31-Jul-20,"911,731.00"
31-Aug-20,"941,531.00"
30-Sep-20,"1,056,618.00"
31-Oct-20,"1,212,759.00"
30-Nov-20,"1,324,207.00"
31-Dec-20,"1,811,491.00"
31-Jan-21,"589,113.00"
28-Feb-21,"669,622.00"
31-Mar-21,"615,405.00"
30-Apr-21,"666,463.00"
31-May-21,"733,454.00"
30-Jun-21,"681,058.00"
31-Jul-21,"1,085,649.00"
31-Aug-21,"1,091,441.00"
30-Sep-21,"1,215,258.00"
31-Oct-21,"1,447,010.00"
30-Nov-21,"1,457,106.00"
31-Dec-21,"2,013,660.00"
